Time,Current,Voltage,Temperature
0,2.360728,2.999311,27.44989
1.000008,2.303036,2.999813,27.72486
2.000008,2.284371,2.999863,27.54536
3.000008,2.221588,2.999863,27.45752
4.000008,2.158805,2.999813,27.48425
5.000008,2.096023,2.999311,27.67141
6.000008,2.040028,2.999562,27.6103
7.000008,2.02815,2.999913,27.49953
8.000015,-20.0493,3.10882,27.52628
9,-20.017,3.119144,27.47662
10.00001,-20.0136,3.128115,27.54919
11.00001,-20.051,3.136284,27.56829
12.00001,-20.0069,3.143852,27.51863
13.00001,-20.017,3.151821,27.4919
14.00001,-20.0221,3.158437,27.57974
15,-20.0255,3.165202,27.50335
16.00001,-19.9933,3.171868,27.45752
17.00002,-20.0035,3.177933,27.62938
18.00001,-20.0204,3.184748,27.53391
19.00001,-19.9526,3.190412,27.39642
20.00001,-19.9967,3.195925,27.46134
21.00001,-20.0153,3.201889,27.48809
22.00001,-19.9814,3.207352,27.43843
23.00002,-19.9933,3.213216,27.28186
24,-19.9831,3.218328,27.40789
25.00001,-19.9967,3.223189,27.19018
26.00001,-19.9526,3.228502,27.34678
27.00001,-20.0476,3.233664,27.28949
28.00001,-20.0102,3.238225,27.43843
29.00001,-20.0493,3.242835,27.30858
30.00001,-20.0272,3.247948,27.42698
31.00001,-20.0204,3.252208,27.38497
32.00002,-20.0187,3.256468,27.38113
33.00001,-19.9933,3.261279,27.31621
34.00001,-20.0408,3.265238,27.43461
35.00001,-20.0289,3.2701,27.40789
36.00001,-19.9339,3.274009,27.17874
37.00001,-20.0086,3.278068,27.11763
38.00001,-20.0323,3.282128,27.30858
39,-20.0136,3.286137,27.24366
40.00001,-19.995,3.289996,27.14055
41.00001,-20.0272,3.293555,27.11382
42.00001,-20.0561,3.297514,27.12145
43.00001,-20.0391,3.301423,27.13289
44.00001,-20.0561,3.305232,27.14817
45.00001,-20.0238,3.308841,27.18637
46.00001,-20.0086,3.312299,27.30095
47.00002,-20.0204,3.315958,27.17874
48,-20.0272,3.319165,27.3124
49.00001,-20.0408,3.322273,27.22838
50.00001,-19.995,3.325931,27.17109
51.00001,-20.0238,3.328988,27.13289
52.00001,-20.0527,3.332847,27.24748
53.00001,-19.9865,3.335955,27.08325
54,-20.0476,3.338912,27.19784
55.00001,-19.9967,3.34262,27.17874
56.00002,-20.0238,3.345578,27.04125
57.00001,-20.0086,3.348284,27.06416
58.00001,-19.9746,3.351542,27.14055
59.00001,-20.0696,3.354498,27.15583
60.00001,-19.978,3.357556,27.02596
61.00001,-19.9831,3.360412,27.05653
62.00002,-20.0391,3.363219,27.15964
63,-20.0052,3.365725,27.02978
64.00001,-20.0204,3.369233,26.99161
65.00001,-20.034,3.371739,27.07181
66.00001,-20.0476,3.374997,26.99542
67.00001,-20.0391,3.377202,26.96104
68.00001,-19.9458,3.379658,26.90759
69.00001,-19.9712,3.382715,27.07181
70.00001,-20.0408,3.385271,26.82357
71.00002,-20.0221,3.387877,26.92285
72.00001,-19.9916,3.390584,26.89612
73.00001,-19.9916,3.392789,26.7319
